Sample,Plot,Treat,Timepoint,bulk_rhizo_t,bulk_rhizo,soil_moisture_perc,sample,soil_moisture_perc,Soil_pH,WDRF_Buffer_pH,S_Salts_mmho_cm,Organic_Matter_LOI,Nitrate_N_ppm_N,lbs_N_A,Olsen_P_ppm_P,Potassium_ppm_K,Sulfate_S_ppm_S,Zinc_ppm_Zn,Iron_ppm_Fe,Manganese_ppm_Mn,Copper_ppm_Cu,Calcium_ppm_Ca,Magnesium_ppm_Mg,Sodium_ppm_Na,CEC_Sum_of_Cations_me_100g,K_Sat,Ca_Sat,Mg_Sat,Na_Sat
p14T1BT0,1_4,Control,T0,bulk_T01,bulk,13.14,14TBT0,12.30697962,7,7.2,0.9,2.9,43.1,78,79.6,358,14,2.86,21,13.2,2.27,1788,1599,60,23.4,4,38,57,1
p14C1BT0,1_4,Control,T0,bulk_T01,bulk,12.21,14CBT0,13.33651248,7.3,7.2,0.52,2.9,21.3,38,56.5,268,8.2,2.09,22.8,12.5,2.52,1756,1596,45,23,3,38,58,1
p14C1BT1,1_4,Control,T1,bulk_T01,bulk,13.33651248,14C1BT1,12.21,6.9,7.2,0.39,3.2,22.2,40,36,219,4.1,1.95,25.8,13,2.29,1487,1312,29,19.1,3,39,57,1
p14C2BT1,1_4,Control,T1,bulk_T01,bulk,14.19742776,14C2BT1,11.21,6.9,7.2,0.56,3.4,34.3,62,88.9,254,12.4,3.14,27.2,13.4,2.24,1719,1498,37,21.9,3,39,57,1
p14T1BT1,1_4,Treatment,T1,bulk_T01,bulk,12.61824023,14T1BT1,14.19742776,7,7.2,0.46,3.1,21.1,38,33.8,220,9.9,1.78,25.8,11.8,2.49,1914,1591,36,23.6,2,41,56,1
p14T2BT1,1_4,Treatment,T1,bulk_T01,bulk,13.97719419,14T2BT1,12.04078045,7,7.2,0.51,3.1,20.2,36,59.4,201,9.7,2.67,28.7,12.3,2.62,1790,1528,51,22.4,2,40,57,1
p55T1BT0,5_5,Control,T0,bulk_T01,bulk,11.21,55TBT0,6.342342342,7.1,7.2,0.77,2.8,44.3,80,74.9,296,9.1,3.47,23.3,13.4,2.26,1650,1438,37,21.2,4,38,57,1
p55C1BT0,5_5,Control,T0,bulk_T01,bulk,10.03,55CBT0,6.274509804,7.5,7.2,0.42,2.5,16.3,29,82.3,207,5.7,3.04,24.6,11,2.27,1707,1498,67,21.8,2,39,57,1
p55C2BT1,5_5,Control,T1,bulk_T01,bulk,12.36159013,55C2BT1,11.54919749,6.7,7.2,0.54,3,33.8,61,114.4,255,7.1,3.89,34.3,13,2.69,1759,1516,42,22.3,3,39,57,1
p55T1BT1,5_5,Treatment,T1,bulk_T01,bulk,12.73476112,55T1BT1,6.752827141,6.9,7.2,0.6,3.1,32.7,59,52.8,245,12.3,2.66,27.5,11.7,2.5,1603,1429,23,20.7,3,39,58,0
p55T2BT1,5_5,Treatment,T1,bulk_T01,bulk,12.30697962,55T2BT1,6.873639592,7,7.2,0.48,2.9,24.3,44,49.2,220,8.1,2.23,24.6,9.4,2.38,1577,1346,33,19.8,3,39,57,1
p55C1BT1,5_5,Control,T1,bulk_T01,bulk,12.04078045,55C1BT1,11.56740838,7.2,7.2,0.54,3,22.1,40,46.6,230,14.2,2.34,22.3,8.4,2.3,1867,1480,44,22.4,3,41,55,1
p78C1BT0,7_8,Control,T0,bulk_T01,bulk,10.71,78CBT0,4.81184454,7.3,7.2,0.6,3,18,32,34.8,293,9.9,2.03,20.6,15.5,2.28,1535,1404,31,20.3,4,37,58,1
p78T1BT0,7_8,Control,T0,bulk_T01,bulk,9.05,78TBT0,5.861981586,7.4,7.2,0.32,2.7,14.2,26,20.2,221,8.7,1.42,19.2,11,2.15,1906,1633,51,23.9,2,40,57,1
p78T2BT1,7_8,Treatment,T1,bulk_T01,bulk,11.54919749,78T2BT1,4.151282307,6.6,7.2,0.62,3.3,37.7,68,114.5,317,10.7,3.83,34.9,14.6,2.78,1717,1594,28,22.8,4,37,58,1
p78T1BT1,7_8,Treatment,T1,bulk_T01,bulk,13.46978558,78T1BT1,4.608864559,6.8,7.2,0.67,3.2,38.1,69,93.9,277,6.9,4.11,33.6,13.9,2.65,1627,1526,27,21.7,3,37,59,1
p78C1BT1,7_8,Control,T1,bulk_T01,bulk,11.56740838,78C1BT1,6.892852353,6.9,7.2,0.57,3,28.4,51,53.6,247,6.4,2.63,29.5,12.2,2.65,1812,1592,51,23.2,3,39,57,1
p78C2BT1,7_8,Control,T1,bulk_T01,bulk,12.86490156,78C2BT1,8.383075843,7.3,7.2,0.38,3.1,7.8,14,66,197,14.2,2.61,27.8,9.4,2.52,1710,1486,43,21.6,2,40,57,1
p14C1BT2,1_4,Control,T2,bulk_T23,bulk,6.525037936,14C1BT2,13.14,7.1,7.2,0.41,2.7,26.5,48,28.2,287,20.2,1.52,22.6,30.8,2.43,1929,1749,122,25.5,3,38,57,2
p14C2BT2,1_4,Control,T2,bulk_T23,bulk,6.48255814,14C2BT2,10.71,7.2,7.2,0.47,2.7,38.7,70,33.5,274,13.1,1.43,16,25.2,2.32,2011,1775,72,25.9,3,39,57,1
p14T1BT2,1_4,Treatment,T2,bulk_T23,bulk,6.274509804,14T1BT2,12.61824023,7.2,7.2,0.42,2.4,22.6,41,29.3,301,15.2,1.46,20.9,31.8,2.69,2174,1923,74,28,3,39,57,1
p14T2BT2,1_4,Treatment,T2,bulk_T23,bulk,6.752827141,14T2BT2,12.36159013,7.3,7.2,0.55,2.3,25.1,45,24.8,239,10.4,1.32,15.8,22.7,2.4,2124,1964,58,27.9,2,38,59,1
p14C2BT3,1_4,Control,T3,bulk_T23,bulk,8.383075843,14C2BT3,9.05,6.8,7.2,0.77,3.1,81,146,96.1,248,10.1,2.65,30.7,24.7,2.64,1835,1719,44,24.3,3,37,59,1
p14T1BT3,1_4,Treatment,T3,bulk_T23,bulk,5.974516281,14T1BT3,13.97719419,7.1,7.2,0.86,3.2,72.5,131,42.5,277,16.3,1.47,18.6,27.8,2.68,2094,1892,44,27.1,3,38,58,1
p14C1BT3,1_4,Control,T3,bulk_T23,bulk,4.791647245,14C1BT3,10.03,7.2,7.2,0.6,3.1,69,124,36.4,284,12,1.55,23.2,40.2,3.08,2153,1828,46,26.9,3,39,57,1
p14T2BT3,1_4,Treatment,T3,bulk_T23,bulk,5.986560782,14T2BT3,12.73476112,7.2,7.2,0.78,3.2,98,176,36.9,257,20.4,1.39,17.5,24.6,2.79,2061,1781,49,26,3,39,57,1
p55T1BT2,5_5,Treatment,T2,bulk_T23,bulk,6.873639592,55T1BT2,7.305743243,7.1,7.2,1.01,2.5,69.9,126,39.1,341,14.3,2.23,15,30.2,2.21,1954,1701,36,25,4,38,57,1
p55T2BT2,5_5,Treatment,T2,bulk_T23,bulk,6.827358375,55T2BT2,6.827358375,7.2,7.2,0.71,2.4,45,81,31.2,289,9.4,2.05,13.4,23.1,2.21,1974,1670,43,24.7,3,40,56,1
p55C1BT2,5_5,Control,T2,bulk_T23,bulk,7.305743243,55C1BT2,12.86490156,7.4,7.2,0.58,2.1,32.3,58,25.7,255,11.8,1.94,14.9,17.9,2.24,2058,1732,60,25.6,3,40,56,1
p55C2BT2,5_5,Control,T2,bulk_T23,bulk,6.990103515,55C2BT2,6.525037936,7.4,7.2,0.67,2.2,42.8,77,28.1,238,11.6,1.96,16,16.3,2.22,2005,1664,56,24.7,2,41,56,1
p55T2BT3,5_5,Treatment,T3,bulk_T23,bulk,6.107690804,55T2BT3,5.47123623,6.9,7.2,0.86,2.9,125.5,226,91.1,370,11.9,3.03,25.8,25.3,2.74,2104,1978,59,28.2,3,37,58,1
p55C1BT3,5_5,Control,T3,bulk_T23,bulk,4.81184454,55C1BT3,13.46978558,7.2,7.2,0.65,2.9,102.5,185,33.3,261,19.2,2.01,15.9,29.6,2.74,2111,1757,54,26.1,3,40,56,1
p55C2BT3,5_5,Control,T3,bulk_T23,bulk,4.608864559,55C2BT3,6.48255814,7.2,7.2,0.69,3,91.5,165,38.3,305,14,2.11,19.1,34.4,2.71,2147,1824,51,26.9,3,40,56,1
p55T1BT3,5_5,Treatment,T3,bulk_T23,bulk,4.80217457,55T1BT3,6.990103515,7.2,7.2,1.1,3.2,117.5,212,46.2,354,18.8,2.28,16.8,32,2.59,2187,1875,78,27.8,3,39,56,1
p78C1BT2,7_8,Control,T2,bulk_T23,bulk,5.47123623,78C1BT2,7.037315302,7.1,7.2,0.72,2.4,59.5,107,47.4,288,10,2.19,18.5,32.1,2.76,2089,1851,56,26.9,3,39,57,1
p78T2BT2,7_8,Treatment,T2,bulk_T23,bulk,7.037315302,78T2BT2,4.304869442,7.1,7.2,1,2.8,61.7,111,64.2,397,14.5,2.34,17.5,32.6,2.34,1988,1789,44,26.1,4,38,57,1
p78C2BT2,7_8,Control,T2,bulk_T23,bulk,6.342342342,78C2BT2,5.974516281,7.2,7.2,0.74,2.4,59.3,107,34.1,251,16.2,1.82,15.8,22.9,2.45,2087,1832,51,26.6,2,39,57,1
p78T1BT2,7_8,Treatment,T2,bulk_T23,bulk,6.892852353,78T1BT2,4.80217457,7.2,7.2,0.95,2.7,59.2,107,30.8,388,14.3,2.49,16,38.8,2.94,2008,1750,48,25.8,4,39,56,1
p78T2BT3,7_8,Treatment,T3,bulk_T23,bulk,5.861981586,78T2BT3,4.298254465,6.9,7.2,1.18,3.1,150,270,102.8,331,14.8,3.22,25.1,35.5,2.79,2007,1834,44,26.4,3,38,58,1
p78T1BT3,7_8,Treatment,T3,bulk_T23,bulk,4.298254465,78T1BT3,6.107690804,7,7.2,0.91,3.2,108,194,75.4,351,8,2.51,21.3,42,2.9,2142,1920,39,27.8,3,38,58,1
p78C1BT3,7_8,Control,T3,bulk_T23,bulk,4.151282307,78C1BT3,4.791647245,7.1,7.2,0.6,2.9,71,128,34.4,295,14.4,1.87,19.6,29.9,2.84,2237,1916,84,28.3,3,40,56,1
p78C2BT3,7_8,Control,T3,bulk_T23,bulk,4.304869442,78C2BT3,5.986560782,7.2,7.2,0.66,3.1,86.5,156,36.4,350,7.5,2.17,20,40.9,3.47,2468,2023,54,30.3,3,40,56,1
p14C1RT1,1_4,Control,T1,rhizo,rhizo,,14C1RT1,,,,,,,,,,,,,,,,,,,,,,
p14C2RT1,1_4,Control,T1,rhizo,rhizo,,14C2RT1,,,,,,,,,,,,,,,,,,,,,,
p14T1RT1,1_4,Treatment,T1,rhizo,rhizo,,14T1RT1,,,,,,,,,,,,,,,,,,,,,,
p14T2RT1,1_4,Treatment,T1,rhizo,rhizo,,14T2RT1,,,,,,,,,,,,,,,,,,,,,,
p14C1RT2,1_4,Control,T2,rhizo,rhizo,,14C1RT2,,,,,,,,,,,,,,,,,,,,,,
p14C2RT2,1_4,Control,T2,rhizo,rhizo,,14C2RT2,,,,,,,,,,,,,,,,,,,,,,
p14T1RT2,1_4,Treatment,T2,rhizo,rhizo,,14T1RT2,,,,,,,,,,,,,,,,,,,,,,
p14T2RT2,1_4,Treatment,T2,rhizo,rhizo,,14T2RT2,,,,,,,,,,,,,,,,,,,,,,
p14C1RT3,1_4,Control,T3,rhizo,rhizo,,14C1RT3,,,,,,,,,,,,,,,,,,,,,,
p14C2RT3,1_4,Control,T3,rhizo,rhizo,,14C2RT3,,,,,,,,,,,,,,,,,,,,,,
p14T1RT3,1_4,Treatment,T3,rhizo,rhizo,,14T1RT3,,,,,,,,,,,,,,,,,,,,,,
p14T2RT3,1_4,Treatment,T3,rhizo,rhizo,,14T2RT3,,,,,,,,,,,,,,,,,,,,,,
p55C1RT1,5_5,Control,T1,rhizo,rhizo,,55C1RT1,,,,,,,,,,,,,,,,,,,,,,
p55C2RT1,5_5,Control,T1,rhizo,rhizo,,55C2RT1,,,,,,,,,,,,,,,,,,,,,,
p55T1RT1,5_5,Treatment,T1,rhizo,rhizo,,55T1RT1,,,,,,,,,,,,,,,,,,,,,,
